id,postcode,retailer,size_band,Floorspace
1010000268,LS10 3SA,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010013809,LS11 5JS,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8335
1010015184,LS12 3TN,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010000270,LS13 3AD,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",10600
1010000271,LS14 6HP,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010015589,LS19 7LX,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010014106,LS20 8FA,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010014866,LS22 7TW,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010015529,LS26 0AE,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010000272,LS4 2HR,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010014875,LS7 1AX,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010000273,LS7 2TT,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010015373,LS7 3PD,Aldi,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8000
1010000865,LS10 1ET,Asda,"30,138 ft2 > (2,800 m2)",36000
1010000717,LS10 4TQ,Asda,"30,138 ft2 > (2,800 m2)",36000
1010000886,LS11 5BJ,Asda,"< 3,013 ft2 (280m2)",36000
1010001023,LS11 8AG,Asda,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",45000
1010001024,LS12 4BP,Asda,"3,013 < 15,069 ft2 (280 < 1,400 m2)",45000
1010000718,LS14 6UF,Asda,"30,138 ft2 > (2,800 m2)",82260
1010001025,LS16 7RY,Asda,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",45527
1010000866,LS20 9NE,Asda,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",36000
1010001026,LS21 1HE,Asda,"3,013 < 15,069 ft2 (280 < 1,400 m2)",45000
1010000719,LS27 0BP,Asda,"30,138 ft2 > (2,800 m2)",99041
1010000909,LS28 6AR,Asda,"30,138 ft2 > (2,800 m2)",137985
1010001027,LS4 2EZ,Asda,"3,013 < 15,069 ft2 (280 < 1,400 m2)",45000
1010001029,LS9 6EU,Asda,"3,013 < 15,069 ft2 (280 < 1,400 m2)",45000
1010007534,LS10 1BG,Costco,"30,138 ft2 > (2,800 m2)",35000
1010014923,LS12 2QN,Farmfoods,"3,013 < 15,069 ft2 (280 < 1,400 m2)",1000
1010013117,LS13 2ET,Farmfoods,"3,013 < 15,069 ft2 (280 < 1,400 m2)",31000
1010013118,LS14 6HR,Farmfoods,"3,013 < 15,069 ft2 (280 < 1,400 m2)",4000
1010013253,LS12 1UX,Heron,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8584
1010013251,LS13 4JF,Heron,"3,013 < 15,069 ft2 (280 < 1,400 m2)",1500
1010013256,LS15 8ET,Heron,"3,013 < 15,069 ft2 (280 < 1,400 m2)",5000
1010015048,LS2 8NG,Heron,"3,013 < 15,069 ft2 (280 < 1,400 m2)",1500
1010015047,LS9 7BG,Heron,"3,013 < 15,069 ft2 (280 < 1,400 m2)",2750
1010015264,LS9 7SR,Heron,"3,013 < 15,069 ft2 (280 < 1,400 m2)",3000
1010011027,LS10 2AP,Iceland,"3,013 < 15,069 ft2 (280 < 1,400 m2)",5000
1010011402,LS10 4AX,Iceland,"3,013 < 15,069 ft2 (280 < 1,400 m2)",5000
1010015950,LS11 0BD,Iceland,"3,013 < 15,069 ft2 (280 < 1,400 m2)",8335
1010011075,LS11 5HZ,Iceland,"3,013 < 15,069 ft2 (280 < 1,400 m2)",5000
1010011213,LS15 8ET,Iceland,"3,013 < 15,069 ft2 (280 < 1,400 m2)",5000
1010015942,LS2 8NG,Iceland,"3,013 < 15,069 ft2 (280 < 1,400 m2)",9000
